j_offset	s_notes	s_isOnset	s_duration	s_measure	a_degree1	a_pcset	a_localKey
47.5	['C5, C6, D#4, D#5, D#6, F#4, G#4, G#5']	[False, False, False, False, False, False, False, False]	0.125	12			
47.625	['C5, C6, D#4, D#5, D#6, F#4, G#4, G#5, G#6']	[False, True, False, False, False, False, False, True, True]	0.125	12			
47.75	['C5, C6, D#4, D#5, D#6, F#4, G#4, G#5']	[False, False, False, False, False, False, False, False]	0.125	12			
47.875	['C2, C5, C6, D#4, D#5, D#6, F#4, G#4, G#5']	[True, False, False, False, False, False, False, False, False]	0.125	12			
48.0	['C5, C6, E4, D#5, D#6, F#4, F#6, G#1, G#4, G#5']	[False, True, True, False, False, False, True, True, True, True]	0.125	13			
48.125	['C5, C6, E4, D#5, D#6, G#1, G#4, G#5']	[False, False, False, False, False, False, False, False]	0.25	13			
48.25	['C5, C6, E4, D#5, D#6, G#1, G#4, G#5']	[False, False, False, False, False, False, False, False]	0.25	13			
48.375	['C5, C6, E4, D#5, D#6, F#6, G#1, G#4, G#5']	[False, True, False, False, False, True, False, False, True]	0.125	13			
48.5	['C5, C6, E4, D#5, D#6, G#1, G#4, G#5']	[False, False, False, False, False, False, False, False]	0.125	13			
48.625	['C5, C6, E4, D#2, D#4, D#5, D#6, F#4, F#6, G#4, G#5']	[False, True, False, True, True, False, False, True, True, False, True]	0.125	13			
48.75	['C5, C6, D#2, D#4, D#5, D#6, F#4, G#4, G#5']	[False, False, False, False, False, False, False, False, False]	0.25	13			
48.875	['C5, C6, D#2, D#4, D#5, D#6, F#4, G#4, G#5']	[False, False, False, False, False, False, False, False, False]	0.25	13			
49.0	['C5, C6, D#2, D#4, D#5, D#6, F#4, F#6, G#4, G#5']	[False, True, False, False, False, False, False, True, False, True]	0.125	13			
49.125	['C5, D#2, D#4, D#5, F#4, G#4, G#5']	[False, False, False, False, False, False, False]	0.125	13			
49.25	['B4, B5, C5, E2, E5, E6, D#2, D#4, D#5, F#4, G#4, G#5']	[True, True, False, True, True, True, False, False, False, False, True, True]	0.125	13			
49.375	['B4, B5, E2, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.25	13			
49.5	['B4, B5, E2, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.25	13			
49.625	['B4, B5, E3, E4, E5, E6, G#4, G#5']	[False, True, True, True, False, True, True, True]	0.125	13			
49.75	['B4, B5, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.125	13			
49.875	['B4, B5, E5, E6, G#4, G#5']	[False, False, False, False, False, False]	0.125	13			
50.0	['B4, B5, E4, E5, E6, G#4, G#5']	[False, True, True, False, True, True, True]	0.5	13			
50.125	['B4, B5, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.5	13			
50.25	['B4, B5, E4, E5, E6, G#4, G#5']	[False, True, True, False, True, True, True]	0.5	13			
50.375	['B4, B5, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.5	13			
50.5	['B4, B5, E2, E5, E6, G#4, G#5']	[False, False, True, False, False, False, False]	0.125	13			
50.625	['B4, B5, E2, E4, E5, E6, G#4, G#5']	[False, True, True, True, False, True, True, True]	0.375	13			
50.75	['B4, B5, E2, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False, False]	0.375	13			
50.875	['B4, B5, E2, E4, E5, E6, G#4, G#5']	[False, True, False, False, False, True, False, True]	0.375	13			
51.0	['B4, B5, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.5	13			
51.125	['B4, B5, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.5	13			
51.25	['B4, B5, E4, E5, E6, G#4, G#5']	[False, True, False, False, True, False, True]	0.5	13			
51.375	['B4, B5, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.5	13			
51.5	['B4, B5, E5, E6, G#4, G#5']	[False, False, False, False, False, False]	0.125	13			
51.625	['B4, B5, E4, E5, E6, G#4, G#5']	[False, True, True, False, True, True, True]	0.25	13			
51.75	['B4, B5, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.25	13			
